title,description,duration,views,genre,upload_date,url,playlist_url
Jack Harlow - Lovin On Me [Official Music Video],"Jack Harlow - Lovin On Me
Stream/Download: https://JackHarlow.lnk.to/LovinOnMe

FOLLOW JACK HARLOW
Website: https://www.jackharlow.us/
Instagram: https://JackHarlow.lnk.to/Instagram
Twitter: https://JackHarlow.lnk.to/Twitter
Facebook: https://JackHarlow.lnk.to/Facebook

LISTEN TO JACK HARLOW
Youtube: https://JackHarlow.lnk.to/YouTube
SoundCloud: https://JackHarlow.lnk.to/SoundCloud
Spotify: https://JackHarlow.lnk.to/Spotify
Apple: https://JackHarlow.lnk.to/Apple

The official YouTube channel of Generation Now and Atlantic Records artist Jack Harlow. Subscribe for the latest music videos, performances, and more.

SUBSCRIBE TO JACK’S YOUTUBE: 
https://JackHarlow.lnk.to/YouTube

#JackHarlow #LovinOnMe",PT2M20S,48891034,10,2023-11-10T05:00:08Z,https://www.youtube.com/watch?v=Iq8h3GEe22o,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
Doja Cat - Paint The Town Red (Official Video),"Doja Cat // Paint The Town Red // Get It Here // https://DojaCat.lnk.to/PTTR 

Directors: Doja Cat and Nina McNeely
Based on Paintings by Doja Cat
Production Company: Freenjoy
Produced by Nathan Scherrer, Fabien Colas, Malcolm Duncan
Label Producer: Sam Houston
DP: Tehillah De Castro
PD: Nu California
Styling/Creative Director: Brett Alan Nelson
SFX Make Up: Malina Stearns
Make Up: Ernesto Casillas
Hair: JStayReady
Nails: Saccia Trinice
1st AD: Robert Thoren
PM: Andres White 
Gaffer: Eddie Reid
Key Grip: Kyle Pugsley 
Casting Director: Sarah May Levy
Edit: Mah Ferraz @ Cut and Run
VFX: SuperContinent
Color: Dante Pasquinelli @ Ethos Studio 
Beauty: Sunset Edit 
 
Grim Reaper: Jhan Mena
Blue Horned Father: Donna Brian

Follow Doja Cat:
http://www.dojacat.com/
https://www.instagram.com/dojacat/
https://twitter.com/DojaCat
https://www.facebook.com/DojaCat
 
Subscribe to Doja Cat's Official YouTube Channel: https://DojaCat.lnk.to/YTSubscribe
 
#DojaCat #PaintTheTownRed #Scarlet",PT4M56S,172649661,10,2023-08-04T04:00:33Z,https://www.youtube.com/watch?v=m4_9TFeMfJE,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video],"Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video]
Download/Stream: https://barbiethealbum.lnk.to/DuaLipaID
Barbie The Album Available Everywhere + Barbie The Movie In Theaters Now!
Download/Stream: https://barbiethealbum.lnk.to/BTA
 
Subscribe to the Dua Lipa channel for all the best and latest official music videos, behind the scenes and live performances. 
https://www.youtube.com/channel/UC-J-KZfRV8c13fOCkhXdLiQ?sub_confirmation=1

Follow Dua Lipa:
Instagram:  https://dualipa.co/instagram
Facebook: http://dualipa.co/facebook
TikTok: https://www.tiktok.com/@dualipaofficial
Twitter: http://dualipa.co/twitter
YouTube: https://dualipa.co/youtube

Follow Barbie The Album:
https://www.instagram.com/barbiethealbum/
https://tiktok.com/@barbiethealbum
https://twitter.com/barbiethealbum
https://www.facebook.com/BarbieTheAlbum/
http://www.barbiethealbum.com/

Follow Barbie The Movie: 
https://www.instagram.com/barbiethemovie/
https://tiktok.com/@barbiethemovie
https://twitter.com/barbiethemovie
https://www.facebook.com/BarbieThemovie/

Lyrics: 
Baby you can
Find me under the lights
Diamonds under my eyes
Turn the rhythm up
Don’t you wanna just
Come along for the ride

Oh my outfit so tight
You can see my heart beat tonight
I can take the heat
Baby best believe
That’s the moment I shine

Cuz every romance
Shakes and it bends
Don’t give a damn

When the nights here
I don’t do tears
Baby no chance

I could dance, I could dance, I could dance
Watch me, dance
Dance the night away
My heart could be burning but you won’t see it on my face
Watch me, dance
Dance the night away
I’ll still keep the party running not one hair out of place

Lately I’ve been
Moving close to the edge
Still be looking my best
I stay on the beat
You can count on me
I ain’t missing no steps

Cuz every romance
Shakes and it bends
Don’t give a damn

When the nights here
I don’t do tears
Baby no chance

I could dance, I could dance, I could dance 
Watch me, dance
Dance the night away
My heart could be burning but you won’t see it on my face 
Watch me, dance
Dance the night away
I’ll still keep the party running not one hair out of place

When my heart breaks
You’ll never see it, never see it
When my world shakes
I feel alive, I feel alive
I don’t play safe
Don’t you know about me

I could dance, I could dance, I could dance

Even when the tears are flowing
They’re diamonds on my face
I’ll still keep the party going not one hair out of place
Even when the tears are flowing
They’re diamonds on my face
I’ll still keep the party going not one hair out of place

Watch me, dance
Dance the night away
My heart could be burning but you won’t see it on my face
Watch me, dance
Dance the night away
I’ll still keep the party running not one hair out of place

When my heart breaks
You’ll never see it, never see it
When my world shakes
I feel alive, I feel alive
I don’t play safe
Don’t you know about me

I could dance, I could dance, I could dance

Dance the night

About Dua Lipa:
Born and raised in London to Kosovar-Albanian parents Dua Lipa signed to Warner Records in 2015, releasing her self titled debut in 2017 which featured the hit singles, 'Be The One', 'IDGAF', 'Hotter Than Hell' & her first UK #1 hit 'New Rules'. 

Critical success soon followed as Dua Lipa picked up Brit Awards for 'Best Female Solo Artist' and 'Best British Breakthrough Act' as well as Grammy Awards for 'Best New Artist' and 'Best Dance Recording' for the track 'Electricity' in collaboration with Silk City.

Her second internationally acclaimed studio album 'Future Nostalgia' was released in 2020 and included the hit singles 'Don't Start Now, 'Break My Heart', 'Hallucinate' and 'Levitating', with the remix album 'Club Future Nostalgia' following shortly after featuring guest appearances from 'Blackpink', 'Missy Elliott', 'Madonna' and 'Gwen Stefani'.

#DuaLipa #DanceTheNight #BarbieTheAlbum",PT3M32S,142833533,10,2023-05-25T23:00:09Z,https://www.youtube.com/watch?v=OiC1rgCPmUQ,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
Zach Bryan - I Remember Everything (feat. Kacey Musgraves),"Rot gut whiskey’s gonna ease my mind
Beach town rests on the “drying” line
Do I remind you of your daddy in his 88 Ford?
Labrador hanging out the passenger door
The sand from your hair is blowing in my eyes
Blame it on the beach grown men don’t cry

Do you remember that beatdown basement couch
I’d sing you my love songs and you’d tell me about
How your momma ran off and pawned her ring
I remember, I remember everything

A cold shoulder a closing time 
you were begging me to stay till the sun rose
Strange words come on out of a grown man’s mouth when his minds broke
Pictures and passing time you only smile like that when you’re drinking
I wish I didn’t but I do, remember every moment on the nights with you

You’re drinking everything to ease your mind
When in the hell are you gonna ease mine
You’re like concrete feet in the summer heat
It burns like hell when two souls meet 
And you’ll never be the man you always swore
But I’ll remember your singing in that ’88 Ford

A cold shoulder a closing time 
you were begging me to stay till the sun rose
Strange words come on out of a grown man’s mouth when his minds broke
Pictures and passing time you only smile like that when you’re drinking
I wish I didn’t but I do, remember every moment on the nights with you

Rot gut whiskey gonna ease my mind
Beach town rests on the “drying” line 
Do I remind you of your daddy in my’88 Ford
Labrador hanging out the passenger door",PT3M48S,26066469,10,2023-08-25T04:00:31Z,https://www.youtube.com/watch?v=ZVVvJjwzl6c,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
Luke Combs - Fast Car (Lyrics),"Luke Combs - Fast Car 
Stream/Download:

Follow Luke Combs:
Instagram: https://LC.lnk.to/profileYT/instagram
Facebook: https://LC.lnk.to/profileYT/facebook
Twitter: https://LC.lnk.to/profileYT/twitter
TikTok: https://LC.lnk.to/profileYT/tiktok
Twitch: https://LC.lnk.to/profileYT/twitch
Subscribe to his channel: https://LC.lnk.to/profileYT/youtube

Become our friend:
https://www.facebook.com/allGoodvibe
https://www.youtube.com/GoodVibesAllDay
https://soundcloud.com/allGoodvibe
https://www.instagram.com/good_vibe/
https://open.spotify.com/user/thegoodfm

(Lyrics)
[Verse 1]
You got a fast car
And I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Startin' from zero, got nothin' to lose
Maybe we'll make something
Me, myself, I got nothin' to prove

[Verse 2]
You got a fast car
And I got a plan to get us out of here
I've been workin' at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just across thе border and into the city
And you and I can both get jobs
Finally see what it mеans to be livin'
[Verse 3]
See, my old man's got a problem
He live in the bottle, that's the way it is
He said his body's too old for working
His body's too young to look like his
So Mama went off and left him
She wanted more from life than he could give
I said, somebody's got to take care of him
So I quit school and that's what I did

[Pre-Chorus]
You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way

[Chorus]
So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us and your arm felt nice wrapped around my shoulder
And I, I, had a feeling that I belonged
I, I, had a feeling I could be someone, be someone, be someone

[Verse 4]
You got a fast car
We go cruising and entertain ourselves
You still ain't got a job
So I work in the market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
And we'll move out of the shelter
Buy a bigger house, live in the suburbs

[Chorus]
Said I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us and your arm felt nice wrapped around my shoulder
And I, I, had a feeling that I belonged
I, I, had a feeling I could be someone, be someone, be someone

[Verse 5]
You got a fast car
I got a job that pays all our bills
You stay out drinking late at the bar
See more of your friends than you do your kids
I'd always hoped for better
Thought maybe together you and me would find it
I got no plans, I ain't goin' nowhere
Take your fast car and keep on driving

[Chorus]
So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us and your arm felt nice wrapped around my shoulder
And I, I, had a feeling that I belonged
I, I, had a feeling I could be someone, be someone, be someone

[Instrumental Break]
[Outro]
You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way

Tags;
Fast Car
Fast Car Lyrics
Luke Combs Fast Car
Fast Car Luke Combs
Oh it's hearts on fire and crazy dreams
Oh the nights ignite like gasoline
And light up those streets that never sleep when the sky goes dark
Out where the wild things are
Luke Combs Fast Car Lyrics
Fast Car Luke Combs Lyrics
Luke Combs

#LukeCombs #FastCar #Lyrics 


Contact: YpmaMusic@gmail.com",PT4M26S,12633568,10,2023-03-31T14:27:57Z,https://www.youtube.com/watch?v=kq6yGtEQlpU,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
Drake - First Person Shooter ft. J. Cole,"Listen to For All The Dogs Scary Hours Edition: https://drake.lnk.to/FATDSHE

Director - Gibson Hazard
EP/Producer - Liam Akiva
EP - Christian Tyler
Executive Producer /Creative Direction- Drake, qJamil ""Big Juice"" 'Davis
Creative Direction - Jack Bannon & Reduciano 
Production Company - House of Hazard x Denim
Line Producer - Cam Frengopoulos & Alex Dall’Orso
Associate Producer - Jackie De Niverville
Production Manager - Trevor Evoy
Production Coordinator - Amber Warus
Cinematographer - Bobby Shore
1st AC - Dave Stuart
B-Unit Director - Nick Dean
Production Designer - Electa Porado
Gaffer - Jordan Heguy
Key Grip - Todd N Thompson
Editors - Gibson Hazard & Jack Bannon
Sound Design - Chris Smith & Jack Bannon
3D Animation Lead - Reduciano
VFX - Mathematic 
VFX - Karen Arakelian
VFX - Pendulum
VFX - Scissor Films
VFX - Black Hat
VFX - Aid6n.edits
Colourist - Dante Pasquinelli
Graphic Design - Alessandro Comotti
Special thanks to Scotiabank Arena, House of Hazard, OVO, Dreamville and Vanessa Hoffer",PT5M1S,37730556,10,2023-11-15T20:26:07Z,https://www.youtube.com/watch?v=Xty2gi5cMa8,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
G.T. - Blow That Money [PART 3],"#GT #NameIt #EMPIRE


Official Video by G.T. - ""Blow That Money [PART 3]"" © 2023Money Counter Music",PT2M52S,387471,10,2023-10-27T19:00:12Z,https://www.youtube.com/watch?v=Nz1aW2G80q8,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
Taylor Swift - Cruel Summer (Official Audio),"Official audio for ‘Cruel Summer’ performed by Taylor Swift. Off her new album ‘Lover.’ Stream/Download the album here: https://TaylorSwift.lnk.to/Loversu

🕰️ Pre-order the new album Midnights by Taylor Swift available everywhere October 21: https://taylor.lnk.to/taylorswiftmidnightsYT

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe

►Exclusive Merch: https://store.taylorswift.com

►Follow Taylor Swift online:
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twitter: http://www.twitter.com/taylorswift13
Website: http://www.taylorswift.com

►Follow Taylor Nation online:
Instagram: http://www.instagram.com/taylornation
Tumblr: http://taylornation.tumblr.com
Twitter: http://www.twitter.com/taylornation13

Official ‘Cruel Summer’ Lyrics
Written by Taylor Swift, Jack Antonoff & Annie Clark

Fever dream high in the quiet of the night 
You know that I caught it
bad bad boy
Shiny toy, with a price 
You know that I bought it 
killing me slow
Out the window
I’m always waiting for you to be waiting below Devils roll the dice
Angels roll their eyes 
What doesn’t kill me 
Makes me want you more And it’s new
The shape of your body 
It’s blue
The feeling I got and it’s 
Ooh 
It’s a cruel summer 
It’s cool
That’s what I tell ‘em
No rules in breakable heaven but 
Ooh 
It’s a cruel summer 
With you Hang your head low
In the glow of the vending machine
I’m not dying
We say that we’ll just screw 
it up in these trying times
We’re not trying 
So cut the headlights
Summer’s a knife
I’m always waiting for you just to cut to the bone 
Devils roll the dice
Angels roll their eyes
And if I bleed you’ll be the last to know Chorus I’m drunk in the back of the car
And I cried like a baby coming home from the bar
Said ‘I’m ﬁne’ but it wasn’t true
I don’t want to keep secrets 
Just to keep you
And I snuck in through the garden gate every night that summer 
Just to seal my fate
And I scream ‘For whatever it’s worth,
I love you, ain’t that the worst thing you ever heard?’ He looks up grinning like a devil Chorus I’m drunk in the back of the car
And I cried like a baby coming home from the bar 
Said ‘I’m ﬁne’ but it wasn’t true
I don’t want to keep secrets 
Just to keep you
And I snuck in through the garden gate every night that summer
Just to seal my fate
And I scream ‘For whatever it’s worth,
I love you, ain’t that the worst thing you ever heard?’

#TaylorSwift #Lover #TaylorSwiftLover

© 2019 Taylor Swift",PT3M,152168651,10,2019-08-23T04:00:06Z,https://www.youtube.com/watch?v=ic8j13piAhQ,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
Tyla - Water (Official Music Video),"Tyla - Water (Official Music Video)

Listen To “Water” now: https://Tyla.lnk.to/Water

Watch the Official Music Video: https://tyla.lnk.to/WaterOfficial 
Watch the Official Lyric Video: https://youtu.be/PBAMcKXcBKE
Listen to the Official Audio: https://youtu.be/wlmUnWLaeog

Follow Tyla:
https://instagram.com/tyla
https://www.tiktok.com/@tyla_
https://twitter.com/Tyllaaaaaaa

Join the #WaterChallenge on YouTube Shorts: https://tyla.lnk.to/YTShortsWaterChallenge

Make me sweat
Make me hotter
Make me lose my breathe 
Make me water

Normally
I can keep my cool but tonight I’m wildin 
Imma be 
In a dangerous mood can match my timing 
Telling me
That you really bout it why try hide it
Talk is cheap
Show me
That you understand how I like it 

Can you blow my mind
Set off my whole body
If I give you my time

Can you snatch my soul from me
I don’t wanna wait come take it
Take me where I ain’t been before

Can you blow my mind 
Set off my whole body

Make me sweat
Make me hotter
Make me lose my breathe 
Make me water

Hopefully 
You can last all night don’t get too excited
Privacy 
You ain’t gotta go nowhere you can stay inside it

Can you blow my mind
Set off my whole body
If I give you my time

Can you snatch my soul from me
I don’t wanna wait come take it
Take me where I ain’t been before

Can you blow my mind 
Set off my whole body

Make me sweat
Make me hotter
Make me lose my breathe 
Make me water (x2)

DIRECTOR: child.
CO- DIRECTOR: C&P    
EXECUTIVE VIDEO PRODUCER (LABEL): Gina Harrell @gstarsz
DP - Frank Mobilio @frankmobilio
PRODUCTION COMPANY: PrettyBird
EXECUTIVE PRODUCER - Candice Dragonas 
SUPERVISING PRODUCER - David Wept  @davidwept
PRODUCER - Farah Idrees @idr_farah
PRODUCTION DESIGNER - Winston Studios/Carlos Lopez @winstonstudios
EDITOR - Alex Morrison @morrydraco
COLORIST - Sean Coleman @seantelecine

CHOREOGRAPHER: Lee Che @litchi_hov
STYLIST: Lee Trigg @ltrigg
STYLIST ASSISTANT: Florence Thompson
STYLIST ASSISTANT: BT Marie
STYLIST ASSISTANT: Rocky Suarez
MAKEUP ARTIST:
Michael Anthony 
@manthony783 
HAIR STYLIST: Davontae Washington 
@iamdavontae

(C) 2023 FAX Records, under exclusive license to Epic Records, a division of Sony Music Entertainment

#Tyla #Water",PT3M40S,104669218,10,2023-10-06T04:00:07Z,https://www.youtube.com/watch?v=XoiOOiuH8iI,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
D. Savage - Breathe (Official Video),"Listen to the single “Breathe"". Out Now!
Stream: https://music.empi.re/breathesavage



#DSavage  #Breath  #EMPIRE



Official Video by  D. Savage - ""Breathe""  © 2023 D Savage Enterprises LLC / EMPIRE",PT2M35S,644460,10,2023-12-08T18:00:04Z,https://www.youtube.com/watch?v=YGLb3mJD3SY,https://www.youtube.com/watch?v=Iq8h3GEe22o&list=PLDIoUOhQQPlXr63I_vwF9GD8sAKh77dWU
