title,duration,views,likes,genre,upload_date,url,playlist_url
Down,PT3M13S,1533950,5902,10,2022-01-27T10:05:47Z,https://www.youtube.com/watch?v=LyGXvhsAJA0,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Good For You – THBD (No Copyright Music),PT4M32S,18067696,118004,10,2016-05-24T17:00:01Z,https://www.youtube.com/watch?v=-K_YSjqKgvQ,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Peyruis - My mind (ft. Sandrah),PT2M49S,359765,1076,22,2017-10-28T17:16:49Z,https://www.youtube.com/watch?v=XFDNV-Fimp8,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
drunk text me,PT3M34S,4342322,19565,10,2022-05-25T10:04:26Z,https://www.youtube.com/watch?v=pVl8azPJkeA,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Easy On Me,PT3M45S,248460507,2030448,10,2021-10-14T23:01:00Z,https://www.youtube.com/watch?v=H9NJenpBV2I,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Myspace – kimengumi (No Copyright Music),PT2M19S,2058891,12622,10,2016-03-09T17:00:00Z,https://www.youtube.com/watch?v=6eAZ-HAEdOs,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Honest (feat. C. Tangana),PT3M36S,1825985,1565,10,2021-09-23T10:06:13Z,https://www.youtube.com/watch?v=anlOOU_XnmM,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Skyfall,PT4M47S,70398678,736931,10,2019-10-09T22:25:16Z,https://www.youtube.com/watch?v=LJzp_mDxaT0,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
We Are One,PT3M49S,440384,4758,10,2020-03-24T19:23:39Z,https://www.youtube.com/watch?v=oHoMCejTrXY,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Vibe With Me,PT2M54S,251522,3212,10,2020-05-21T04:29:49Z,https://www.youtube.com/watch?v=BZSncOqhTHE,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Perfect,PT4M24S,334815493,2971316,10,2017-03-03T12:20:53Z,https://www.youtube.com/watch?v=ORrFJ63nlcA,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Summertime Sadness,PT4M25S,156398918,1584681,10,2020-04-14T18:33:49Z,https://www.youtube.com/watch?v=fRQg_9ulGuI,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
I'm Not The Only One,PT4M,268826054,1584475,10,2018-11-03T07:47:09Z,https://www.youtube.com/watch?v=67ibXO8viXE,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Be Alright,PT3M17S,74391186,636468,10,2019-03-21T10:04:26Z,https://www.youtube.com/watch?v=td8ofu69z0E,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Move Your Body,PT2M38S,14935617,157690,10,2021-10-28T10:05:37Z,https://www.youtube.com/watch?v=NkMceAV2hVA,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Lights,PT3M28S,77330,452,10,2021-06-23T15:53:45Z,https://www.youtube.com/watch?v=TGvqNaIAy7U,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Only Love Can Hurt Like This,PT3M53S,140189697,1528193,10,2017-01-25T19:50:26Z,https://www.youtube.com/watch?v=whBJ7h_tjdc,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Rolling in the Deep,PT3M49S,50270979,402875,10,2020-01-03T16:17:25Z,https://www.youtube.com/watch?v=4ujBQOzs6Lw,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Bloody Mary,PT4M5S,68566940,633671,10,2018-12-12T11:58:55Z,https://www.youtube.com/watch?v=1e32cgJrbBo,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Nostalgia,PT3M23S,305948,2807,10,2020-03-25T20:12:17Z,https://www.youtube.com/watch?v=dEOL_1tCTSk,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
greedy,PT2M12S,26012356,322056,10,2023-10-12T10:03:19Z,https://www.youtube.com/watch?v=IGuY2HM6Yb0,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Revolt,PT3M48S,38729,307,10,2018-08-30T22:48:07Z,https://www.youtube.com/watch?v=ubx61Diftkw,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Blinding Lights,PT3M22S,629757538,4719547,10,2019-11-29T05:01:00Z,https://www.youtube.com/watch?v=J7p4bzqLvCw,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Thinking out Loud,PT4M42S,200879424,1572295,10,2015-08-07T23:24:41Z,https://www.youtube.com/watch?v=fdz_cabS9BU,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Viva La Vida,PT4M2S,119106665,929923,10,2016-02-27T00:12:47Z,https://www.youtube.com/watch?v=3a-q7vPa-UU,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Paparazzi,PT3M29S,37902482,346978,10,2018-07-31T15:29:33Z,https://www.youtube.com/watch?v=28jp-30w8Lg,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Wild Flower,PT3M26S,340011,2035,10,2016-07-13T17:38:38Z,https://www.youtube.com/watch?v=8yNUpbVcTOM,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
"Neethanae (From ""Mersal"")",PT4M29S,5571563,24850,10,2017-08-17T13:58:33Z,https://www.youtube.com/watch?v=15U7toSI6ck,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Take It Easy,PT2M21S,58631,549,10,2018-02-25T01:42:11Z,https://www.youtube.com/watch?v=-ifefYNGeZw,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Just Give Me a Reason,PT4M3S,10943152,79393,10,2015-08-12T00:00:13Z,https://www.youtube.com/watch?v=5piY3LcheMM,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Say It Right,PT3M44S,89245469,816487,10,2018-07-20T10:40:11Z,https://www.youtube.com/watch?v=7JFtfM9rVvQ,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
"No, It's Not a Nightmare",PT3M34S,2158394,768,10,2019-11-17T10:01:09Z,https://www.youtube.com/watch?v=OBG-MGcytdI,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Always Remember Us This Way,PT3M31S,233947633,1337092,10,2018-10-04T10:28:30Z,https://www.youtube.com/watch?v=Voo86mlxZvA,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
All of Me,PT4M31S,1702548,10411,10,2018-02-08T15:06:13Z,https://www.youtube.com/watch?v=JXt4MrXL14A,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
comethru,PT3M2S,70506084,416240,10,2018-09-21T04:58:17Z,https://www.youtube.com/watch?v=X1R7SrjI_o8,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
vampire,PT3M40S,21123966,240200,10,2023-09-07T10:03:29Z,https://www.youtube.com/watch?v=aHmg0jsmNhg,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Great Days,PT3M43S,381268,4079,10,2017-05-21T11:18:58Z,https://www.youtube.com/watch?v=KjytxoAV53E,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Apocalypse,PT4M51S,60473131,694345,10,2017-06-09T22:08:56Z,https://www.youtube.com/watch?v=Wn3r7ehvmGU,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Someone Like You,PT4M46S,101796909,637583,10,2015-08-12T00:42:42Z,https://www.youtube.com/watch?v=XqoanTj5pNY,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
See You Again (feat. Charlie Puth),PT3M50S,20533338,179960,10,2017-02-20T12:53:49Z,https://www.youtube.com/watch?v=4YNaaX0-nbI,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Hip Hop Rap Instrumental (Crying Over You) – christophermorrow (No Copyright Music),PT2M21S,5074766,82094,10,2016-01-18T05:00:00Z,https://www.youtube.com/watch?v=hiYs5z4xdBU,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Love You Like A Love Song,PT3M9S,163320488,1338181,10,2018-07-26T22:39:33Z,https://www.youtube.com/watch?v=XhGior4O2eM,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Cheap Thrills,PT3M31S,41285780,386148,10,2016-01-08T17:23:26Z,https://www.youtube.com/watch?v=K_idN3P5_yk,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Unstoppable,PT3M38S,25383176,219361,10,2016-01-21T05:37:02Z,https://www.youtube.com/watch?v=cfhwSpSDA9c,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
A Sky Full of Stars,PT4M28S,153045130,1208348,10,2017-02-19T02:02:59Z,https://www.youtube.com/watch?v=KWuyx6yZ21U,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Enna Solla Pogirai,PT6M1S,9894266,56123,10,2019-02-26T20:37:31Z,https://www.youtube.com/watch?v=f7Bi52YfmBI,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Paint The Town Red,PT3M51S,34612049,443727,10,2023-09-21T10:02:01Z,https://www.youtube.com/watch?v=TfOsGnWy8qA,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Shape of You,PT3M54S,437042125,3400920,10,2017-03-05T05:01:47Z,https://www.youtube.com/watch?v=xTvyyoF_LZY,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Dandelions,PT3M54S,180873428,1913966,10,2017-05-04T11:56:44Z,https://www.youtube.com/watch?v=HZbsLxL7GeM,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
Annul Maelae,PT5M23S,4496433,26892,10,2014-11-06T02:56:58Z,https://www.youtube.com/watch?v=fh6_h3BEWLs,https://music.youtube.com/browse/VLPL465FyR4NKwpCsiV2DQIlwWkdeN2lZBzM
